N_segment,Tseg,Xcoeff,Ycoeff,Zcoeff,Order
9,2.30033092736495,-1,0,1,7
-1,0.590180194796548,0,0,0,-1
-1,0.522603843551708,0,0,0,-1
-1,0.431628905102704,0,0,0,-1
-1,0.396796877711843,0,0,0,-1
-1,0.438125701548461,0.00855289424415309,0,0,-1
-1,0.54626613353051,-0.00221539460267424,0,0,-1
-1,0.621270821801018,-0.777777777777778,0,1,-1
-1,2.36547604849264,0.340979176801279,0,0,-1
-1,-1,0.110931790817388,0,0,-1
-1,-1,-0.0863615358539578,0,0,-1
-1,-1,-0.0773321181496462,0,0,-1
-1,-1,0.189966616130659,0,0,-1
-1,-1,-0.085833181625818,0,0,-1
-1,-1,-0.555555555555556,0,1,-1
-1,-1,0.396372390125362,0,0,-1
-1,-1,0.0305691719976894,0,0,-1
-1,-1,0.0396911864484314,0,0,-1
-1,-1,0.0354991303820867,0,0,-1
-1,-1,-0.0181444778571676,0,0,-1
-1,-1,-0.0142150683093453,0,0,-1
-1,-1,-0.333333333333333,0,1,-1
-1,-1,0.470746831389704,0,0,-1
-1,-1,0.1090770662561,0,0,-1
-1,-1,0.024115053550348,0,0,-1
-1,-1,-0.069756265494271,0,0,-1
-1,-1,-0.0156128372809919,0,0,-1
-1,-1,0.0189144549636845,0,0,-1
-1,-1,-0.111111111111111,0,1,-1
-1,-1,0.554790266943512,0,0,-1
-1,-1,0.0599766573365182,0,0,-1
-1,-1,-0.094734271656045,0,0,-1
-1,-1,-0.0508017114975953,0,0,-1
-1,-1,0.0516994960858878,0,0,-1
-1,-1,-0.000363394359995276,0,0,-1
-1,-1,0.111111111111111,0,1,-1
-1,-1,0.551502731888836,0,0,-1
-1,-1,-0.0682672537058195,0,0,-1
-1,-1,-0.0946742346207523,0,0,-1
-1,-1,0.0505933240803996,0,0,-1
-1,-1,0.0302630574428019,0,0,-1
-1,-1,-0.0168096200355774,0,0,-1
-1,-1,0.333333333333333,0,1,-1
-1,-1,0.458426764118485,0,0,-1
-1,-1,-0.118363316963194,0,0,-1
-1,-1,0.0234654447807698,0,0,-1
-1,-1,0.0685749396795825,0,0,-1
-1,-1,-0.0549975067582488,0,0,-1
-1,-1,0.0124540682702828,0,0,-1
-1,-1,0.555555555555556,0,1,-1
-1,-1,0.374054952418897,0,0,-1
-1,-1,-0.0303320892159827,0,0,-1
-1,-1,0.0499217518991791,0,0,-1
-1,-1,-0.0258068731103071,0,0,-1
-1,-1,-0.115697016014187,0,0,-1
-1,-1,0.078801354732189,0,0,-1
-1,-1,0.777777777777778,0,1,-1
-1,-1,0.32724344502762,0,0,-1
-1,-1,-0.0980828932430595,0,0,-1
-1,-1,-0.0832014461383224,0,0,-1
-1,-1,0.0699194626372531,0,0,-1
-1,-1,-0.0191237550942717,0,0,-1
-1,-1,0.00185744948653534,0,0,-1
